id,url,FsF_A1_01M_1_earned,FsF_A1_01M_earned,FsF_A1_02MD_1_earned,FsF_A1_02MD_2_earned,FsF_A1_02MD_earned,FsF_A1_1_01MD_1_earned,FsF_A1_1_01MD_2_earned,FsF_A1_1_01MD_earned,FsF_A1_2_01MD_1_earned,FsF_A1_2_01MD_2_earned,FsF_A1_2_01MD_earned,FsF_F1_01MD_1_earned,FsF_F1_01MD_2_earned,FsF_F1_01MD_earned,FsF_F1_02MD_1_earned,FsF_F1_02MD_2_earned,FsF_F1_02MD_4_earned,FsF_F1_02MD_5_earned,FsF_F1_02MD_earned,FsF_F2_01M_2_earned,FsF_F2_01M_3_earned,FsF_F2_01M_earned,FsF_F3_01M_2_earned,FsF_F3_01M_earned,FsF_F4_01M_1_earned,FsF_F4_01M_earned,FsF_I1_01M_1_earned,FsF_I1_01M_2_earned,FsF_I1_01M_earned,FsF_I2_01M_2_earned,FsF_I2_01M_earned,FsF_I3_01M_1_earned,FsF_I3_01M_2_earned,FsF_I3_01M_earned,FsF_R1_01M_1_earned,FsF_R1_01M_2_earned,FsF_R1_01M_3_earned,FsF_R1_01M_earned,FsF_R1_1_01M_1_earned,FsF_R1_1_01M_earned,FsF_R1_2_01M_1_earned,FsF_R1_2_01M_2_earned,FsF_R1_2_01M_earned,FsF_R1_3_01M_1_earned,FsF_R1_3_01M_3_earned,FsF_R1_3_01M_earned,FsF_R1_3_02D_1_earned,FsF_R1_3_02D_earned,score_earned_A,score_earned_A1,score_earned_A1_1,score_earned_A1_2,score_earned_F,score_earned_F1,score_earned_F2,score_earned_F3,score_earned_F4,score_earned_FAIR,score_earned_I,score_earned_I1,score_earned_I2,score_earned_I3,score_earned_R,score_earned_R1,score_earned_R1_1,score_earned_R1_2,score_earned_R1_3
data-szepmuveszeti-hu,https://lod-cloud.net/dataset/data-szepmuveszeti-hu,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
datos-artium-org,https://lod-cloud.net/dataset/datos-artium-org,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
datos-bne-es,https://lod-cloud.net/dataset/datos-bne-es,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbtropes,https://lod-cloud.net/dataset/dbtropes,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbtune-artists-last-fm,https://lod-cloud.net/dataset/dbtune-artists-last-fm,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbtune-audioscrobbler,https://lod-cloud.net/dataset/dbtune-audioscrobbler,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbtune-classical,https://lod-cloud.net/dataset/dbtune-classical,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbtune-john-peel-sessions,https://lod-cloud.net/dataset/dbtune-john-peel-sessions,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbtune-magnatune,https://lod-cloud.net/dataset/dbtune-magnatune,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbtune-musicbrainz,https://lod-cloud.net/dataset/dbtune-musicbrainz,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbtune-myspace,https://lod-cloud.net/dataset/dbtune-myspace,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
deutsche-biographie,https://lod-cloud.net/dataset/deutsche-biographie,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
deutsche-nationalbibliografie-dnb,https://lod-cloud.net/dataset/deutsche-nationalbibliografie-dnb,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dm2e,https://lod-cloud.net/dataset/dm2e,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dnb-gemeinsame-normdatei,https://lod-cloud.net/dataset/dnb-gemeinsame-normdatei,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dutch-ships-and-sailors,https://lod-cloud.net/dataset/dutch-ships-and-sailors,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
ecco-tcp-linked-data,https://lod-cloud.net/dataset/ecco-tcp-linked-data,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
eclap,https://lod-cloud.net/dataset/eclap,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
english-heritage-periods-list,https://lod-cloud.net/dataset/english-heritage-periods-list,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
