id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
opendatascotland-simd-health-rank,opendatascotland-simd-health-rank,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
enakting-mortality,EnAKTing Mortality Dataset,http://mortality.psi.enakting.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
public-spending-in-greece,Public Spending in Greece,http://publicspending.medialab.ntua.gr/en/index.php,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
imf-linked-data,International Monetary Fund (IMF) Linked Data,absent,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
bfs-linked-data,Bundesamt für Statistik (BFS) - Swiss Federal Statistical Office (FSO) Linked Data,http://bfs.270a.info/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
ecb-linked-data,European Central Bank (ECB) Linked Data,http://ecb.270a.info/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
fao-linked-data,Food and Agriculture Organization of the United Nations (FAO) Linked Data,http://fao.270a.info/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
transparency-linked-data,Transparency International Linked Data,http://transparency.270a.info/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
world-bank-linked-data,World Bank Linked Data,http://worldbank.270a.info/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
opendatacommunities-wellbeing-worthwhile-mean,opendatacommunities-wellbeing-worthwhile-mean,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
dataturcyl-lod-for-tourists-in-castilla-y-leon-spain,DATATURCYL - LOD for tourists in Castilla y León (Spain),absent,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
