id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
bioportal-efo,Experimental Factor Ontology,http://bioportal.bioontology.org/ontologies/1136,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-ev,eVOC (Expressed Sequence Annotation for Humans),http://bioportal.bioontology.org/ontologies/1013,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-imr,Molecule role (INOH Protein name/family name ontology),http://bioportal.bioontology.org/ontologies/1029,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-ma,Mouse adult gross anatomy,http://bioportal.bioontology.org/ontologies/1000,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-mccl_x1,Cell line ontology,http://bioportal.bioontology.org/ontologies/1245,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-mesh-owl,MESH Thesaurus (OWL version),http://bioportal.bioontology.org/ontologies/3019,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-msh,Medical Subject Headings,http://bioportal.bioontology.org/ontologies/1351,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-omim,Online Mendelian Inheritance in Man,http://bioportal.bioontology.org/ontologies/1348,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-pr,PRotein Ontology (PRO),http://bioportal.bioontology.org/ontologies/1062,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-tao,Teleost Anatomy Ontology,http://bioportal.bioontology.org/ontologies/1110,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-uberon,Uber anatomy ontology,http://bioportal.bioontology.org/ontologies/1404,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-vhog,vertebrate Homologous Organ Groups,http://bioportal.bioontology.org/ontologies/1574,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-xao,Xenopus anatomy and development,http://bioportal.bioontology.org/ontologies/1095,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-zfa,Zebrafish anatomy and development,http://bioportal.bioontology.org/ontologies/1051,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bio2rdf-gendr,Bio2RDF::Gendr,http://gendr.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-ncbigene,Bio2RDF::Ncbigene,http://ncbigene.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-pubmed,Bio2RDF::Pubmed,http://pubmed.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,0,1,0.75,0,1,0.181818182,1,0.55,3.13
bio2rdf-taxonomy,Bio2RDF::Taxonomy,http://taxonomy.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-wormbase,Bio2RDF::Wormbase,http://wormbase.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bioportal-bp,BioPAX,http://bioportal.bioontology.org/ontologies/1522,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
bioportal-chem2bio2owl,Systems Chemical Biology/Chemogenomics,http://bioportal.bioontology.org/ontologies/1615,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-dikb-evidence,DIKB-Evidence-Ontology,http://bioportal.bioontology.org/ontologies/1672,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-mi,Protein-protein interaction,http://bioportal.bioontology.org/ontologies/1040,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-sbo,Systems Biology,http://bioportal.bioontology.org/ontologies/1046,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-roleo,Role Ontology,http://bioportal.bioontology.org/ontologies/1538,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-hl7,Health Level Seven,http://bioportal.bioontology.org/ontologies/1343,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-icnp,International Classification for Nursing Practice,http://bioportal.bioontology.org/ontologies/1401,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
eagle-i-dartmouth,eagle-i @ Dartmouth College,http://dartmouth.eagle-i.net,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-bro_x1,Biomedical Resource Ontology,http://bioportal.bioontology.org/ontologies/1104,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-go_x2,Gene Ontology,http://bioportal.bioontology.org/ontologies/1070,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-ncbitaxon,NCBI organismal classification,http://bioportal.bioontology.org/ontologies/1132,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-ocre,Ontology of Clinical Research (OCRe),http://bioportal.bioontology.org/ontologies/1076,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-so_x1,Sequence types and features,http://bioportal.bioontology.org/ontologies/1109,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-swo,Software Ontology,http://bioportal.bioontology.org/ontologies/1413,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-vivo,VIVO,http://bioportal.bioontology.org/ontologies/1699,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-mo,MGED Ontology,http://bioportal.bioontology.org/ontologies/1131,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-ep,Cardiac Electrophysiology Ontology,http://bioportal.bioontology.org/ontologies/1142,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-jerm,SysMO-JERM,http://bioportal.bioontology.org/ontologies/1488,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-oboe-sbc,OBOE SBC,http://bioportal.bioontology.org/ontologies/1523,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-pato,Phenotypic quality,http://bioportal.bioontology.org/ontologies/1107,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-pma,PMA 2010,http://bioportal.bioontology.org/ontologies/1497,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-uo,Units of measurement,http://bioportal.bioontology.org/ontologies/1112,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
eagle-i-utsa,eagle-i @ University of Texas at San Antonio,http://utsa.eagle-i.net,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-bootstrep,Gene Regulation Ontology,http://bioportal.bioontology.org/ontologies/1106,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-bt,BioTop,http://bioportal.bioontology.org/ontologies/1134,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
bioportal-chebi,Chemical entities of biological interest,http://bioportal.bioontology.org/ontologies/1007,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-gfo-bio,General Formal Ontology: Biology,http://bioportal.bioontology.org/ontologies/1440,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-gro_x2,Gene Regulation Ontology,http://bioportal.bioontology.org/ontologies/1082,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-neomark,Neomark Oral Cancer Ontology,http://bioportal.bioontology.org/ontologies/1686,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-pedterm,Pediatric Terminology,http://bioportal.bioontology.org/ontologies/1640,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
