id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
eea-vocabularies,EEA Vocabularies,absent,1,0,1,0.78,1,1,0.8,0.5,1,0,1,0.62,1,1,1,1,1,1,1,0,1,0.75,3.17
Earthquake_case,ESO,https://github.com/sonia04021991/earthquake-KG,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
lobid-organisations,lobid-organisations,http://lobid.org/organisation,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.55
Uganda-Disasters-rdf-data_,Uganda Disasters,http://ld4du.optimistcarter.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
linkedcrowdsourceddata,Linked Crowdsourced Data,absent,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
openmobilenetwork,OpenMobileNetwork,http://www.openmobilenetwork.org,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
uk-postcodes,UK Postcodes,http://www.uk-postcodes.com/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.51
nuts-geovocab,NUTS (GeoVocab),http://nuts.geovocab.org/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
near,Near,http://beta.kasabi.com/dataset/near,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
knoesis-linked-sensor-data,Linked Sensor Data (Kno.e.sis),http://wiki.knoesis.org/index.php/SSW_Datasets,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
