id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
rism,Répertoire International des Sources Musicales - RISM,absent,1,1,1,0.78,1,1,0.96,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.21
cpv-2008,CPV 2008,http://www.josemalvarez.es/web/2011/11/16/product-scheme-classifications/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
naics-2012,NAICS 2012,http://www.josemalvarez.es/web/2011/11/16/product-scheme-classifications/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
openlinksw-dataspaces,openlinksw dataspaces,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,0,0,1,0.25,0,1,0,1,0.5,1.99
semanlink,semanlink,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
apache,apache,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,1,0,0,1,0.5,0,1,0,1,0.5,2.53
prefix-cc,prefix.cc,http://prefix.cc/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
semanticweb-org,semanticweb.org,http://semanticweb.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.03
typepad,typepad,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,0,0,1,0.25,0,1,0,1,0.5,1.99
wordpress,wordpress,absent,1,0,1,0.56,1,1,0.76,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.51
myopenlink-dataspaces,myopenlink dataspaces,absent,1,0,1,0.56,1,1,0.76,1,1,0,1,0.75,0,0,0,1,0.25,0,1,0,1,0.5,2.26
universidad-de-cuenca-linkeddata,Universidad de Cuenca - LinkedData,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
deustotech,DeustoTech (Deusto Institute of Technology),http://deusto.gnoss.com,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
dblp-deusto-gnoss,DBLP Research Groups (University of Deusto-GNOSS),http://researchgroups.gnoss.com,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
deustoentrepreneurship,Deusto Entrepreneurship: sharing business knowledge,http://deusto.gnoss.com/en/community/deustoEntrepreneurship,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
yovisto,Yovisto - academic video search,http://www.yovisto.com/ontology/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
utpl-lod,Universidad Técnica Particular de Loja - Linked Open Data,absent,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
berlios,berlios,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
linkedmarkmail,LinkedMarkMail,http://linkedmarkmail.wikier.org/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
rdfohloh,RDFohloh,http://rdfohloh.wikier.org,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
roceeh-road,ROCEEH Out of Africa Database (ROAD),https://www.hadw-bw.de/en/research/research-center/roceeh,1,0,1,0.67,1,1,0.78,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.03
elviajero,El Viajero's tourism dataset,http://webenemasuno.linkeddata.es/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
ce4r,CE4R Knowledge Centre Corporate Excellence – Centre for Reputation Leadership,http://corporateexcellence.net/en/community/patronato,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
newborn-photography-maternity-photoshoot-shivani-goyal,Shivani Goyal Photography,https://shivanigoyalphotography.com/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
prospects-and-trends-gnoss,Prospects and Trends (GNOSS),http://gnoss.com/comunidad/prospectivatecnologica,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
gnoss-com-a-social-and-semantic-platform,"GNOSS.com, a Social and Semantic Platform",http://gnoss.com/en/home,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
museosespania-gnoss,"Museos de España, colección de museos públicos y privados españoles (GNOSS)",http://museos.gnoss.com/comunidad/mismuseos/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
ichoose,ichoose,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,0,1,1,0.5,1,1,0,1,0.75,2.78
