KG id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
eclap,ECLAP,http://www.eclap.eu/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.34
english-heritage-periods-list,English Heritage Periods List,http://heritagedata.org/live/sparql,1,0,1,0.78,0,1,0.63,1,1,1,1,1,1,1,0,1,0.75,1,1,1,1,1,3.38
enslaved.org,Enslaved.org,,1,0,1,0.44,0,1,0.57,1,1,0,1,0.75,1,0,0,0,0.25,1,1,1,0,0.75,2.32
europeana-lod-v1,Europeana Linked Open Data V1.0,,1,0,1,0.78,0,1,0.63,1,1,0,1,0.75,1,1,0.79,1,0.95,1,1,1,1,1,3.33
europeana-sparql,Europeana SPARQL,http://europeana.ontotext.com/sparql,1,0,1,0.89,0,1,0.65,1,1,0,1,0.75,1,1,0.79,1,0.95,1,1,1,1,1,3.35
event-media,EventMedia,http://eventmedia.eurecom.fr/sparql,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
eventkg,EventKG,,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.32
freeyork-org,Freeyork,,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.32
geographic-names-information-system-gnis,Geographic Names Information System (GNIS),https://gnis-ld.org/queries,1,0,1,0.44,0,1,0.57,0.5,1,0,1,0.62,1,0,0,1,0.5,0,1,1,0,0.5,2.19
getty-aat,Art & Architecture Thesaurus,https://vocab.getty.edu/sparql,1,0,1,0.44,1,1,0.74,0.5,0,0,1,0.38,1,0,0,0,0.25,1,1,1,0,0.75,2.12
getty-tgn,The Getty Thesaurus of Geographic Names,http://vocab.getty.edu/sparql,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
glastonbury-2011,Glastonbury 2011 Programme,,1,0,1,0.33,0,1,0.56,0,1,0,1,0.5,1,0,0,0,0.25,1,1,1,0,0.75,2.06
googleart-wrapper,GoogleArt wrapper,,1,0,1,0.33,0,1,0.56,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.06
greekchildrensartmuseum,Greek Children Art  Museum dataset,http://ct-linkdata.aegean.gr/gcam/sparql,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.8
gutenberg,Project Gutenberg,,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
hebis-bibliographic-resources,HeBIS - Bibliographic Resources of the Library Union Catalogues of Hessen and parts of the Rhineland Palatinate,http://lod.hebis.de/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
hedatuz,Hedatuz,http://helheim.deusto.es/hedatuz/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
http:cultural-opposition.eu,COURAGE Dataset,http://courage.btk.mta.hu:3030/,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,0,0.25,1,1,1,0,0.75,2.07
https:www.childrensartmuseum.grLD-project,Greek Children Art  Museum dataset,,1,0,1,0.56,1,1,0.76,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.76
hungarian-national-library-catalog,Hungarian National Library (NSZL) catalog,http://setaria.oszk.hu/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.34
