KG id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
gene-expression-atlas-rdf,Gene Expression Atlas RDF,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
yale_senselab,Yale Senselab,http://neuroweb.med.yale.edu/senselab/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,0,0.5,2.51
linkedct,LinkedCT,http://linkedct.org/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
arrayexpress-e-afmx-1,"Transcription profiling of human, chimp and mouse brain",absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,0,0.25,2.28
biolod-pdb,BioLOD for Protein Data Bank Japan,http://biolod.org/database/ria1i/Protein_Data_Bank,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
bioportal-omit,Ontology for MicroRNA Target Prediction,http://bioportal.bioontology.org/ontologies/1505,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-icf_x1,"International Classification of Functioning, Disability and Health (ICF)",http://bioportal.bioontology.org/ontologies/1411,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
cz-sidc-drug-ingredients,Active ingredients of medicinal products available in Czech Republic,http://linked.opendata.cz/resource/dataset/sukl/drug-ingredients,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
chem2bio2rdf,Chem2Bio2RDF,http://chem2bio2rdf.org,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
Naturopathy,Naturopathy Knowledge Graph (Ontology and Dataset) - RDF distribution of the naturopathy dataset.,http://sensormeasurement.appspot.com/dataset/naturopathy-dataset,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
bioportal-mdr,MedDRA,http://bioportal.bioontology.org/ontologies/1422,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-spto,Solanaceae Phenotype Ontology,http://bioportal.bioontology.org/ontologies/3029,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-ddi,Ontology for Drug Discovery Investigations,http://bioportal.bioontology.org/ontologies/1540,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
Hermos,Hermos,https://mcbu-semanticweb-lab.github.io/hermos/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,0,0.25,2.55
bioportal-mpath,Mouse pathology,http://bioportal.bioontology.org/ontologies/1031,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-jerm,SysMO-JERM,http://bioportal.bioontology.org/ontologies/1488,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-phare,PHARE,http://bioportal.bioontology.org/ontologies/1550,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
disgenet,DisGeNET,http://ibi.imim.es/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
cz-sidc-drugs,Medicinal products marketed in Czech Republic,http://linked.opendata.cz/resource/dataset/sukl/drugs,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
cz-eh-1-atc,ATC groups,http://linked.opendata.cz/resource/dataset/atc,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
bioportal-nigo,Neural-Immune Gene Ontology,http://bioportal.bioontology.org/ontologies/1539,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
PubChem RDF,PubChem RDF,https://pubchem.ncbi.nlm.nih.gov/,1,0,1,0.78,1,0,0.63,1,0,0,0,0.25,1,1,1,1,1,1,1,0,0,0.5,2.38
bioportal-tmo,Translational Medicine Ontology,http://bioportal.bioontology.org/ontologies/1461,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-gro,Cereal Plant Development,http://bioportal.bioontology.org/ontologies/1047,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,0,0.25,2.01
bioportal-unitsontology,Units Ontology,http://bioportal.bioontology.org/ontologies/1650,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-ogmd,Ontology of Glucose Metabolism Disorder,http://bioportal.bioontology.org/ontologies/1085,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-nddf,National Drug Data File,http://bioportal.bioontology.org/ontologies/1424,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-mo,MGED Ontology,http://bioportal.bioontology.org/ontologies/1131,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-ms,Mass spectrometry,http://bioportal.bioontology.org/ontologies/1105,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
linked-drugs,LinkedDrugs: Linked Drug Product Data on a Global Scale,absent,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
ontobeef-domain,OntoBeef Domain,http://onto.beef.org.pl/ontobeef,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
bioportal-ndfrt,National Drug File,http://bioportal.bioontology.org/ontologies/1352,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-ontoorpha,Orphanet Ontology of Rare Diseases,http://bioportal.bioontology.org/ontologies/1586,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
bioportal-air,AI/RHEUM,http://bioportal.bioontology.org/ontologies/1430,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
