id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
rkb-explorer-italy,Diverse Italian ReSIST Partner Institutions (RKBExplorer),http://italy.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-lisbon,Fundação da Faculdade de Ciencas da Universidade de Lisboa (RKBExplorer),http://lisbon.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
gutenberg,Project Gutenberg,http://www.gutenberg.org/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
open-library,Open Library,http://openlibrary.org/,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
ww1lod,World War 1 as Linked Open Data,absent,1,0.927385477,1,1,1,1,0.99,1,1,1,1,1,1,1,0,1,0.75,0,1,0.8,1,0.7,3.44
twc-opendap,twc-opendap,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
rism-authorities,RISM Authority data,absent,1,1,1,0.89,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,3.73
rkb-explorer-era,ERA - Australian Research Council publication ratings (RKBExplorer),http://era.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
stw-thesaurus-for-economics,STW Thesaurus for Economics,http://zbw.eu/stw,1,0.8582,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,0.4,1,0.85,3.83
german-labor-law-thesaurus,German labor law thesaurus,http://vocabulary.wolterskluwer.de/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
gesis-thesoz,TheSoz Thesaurus for the Social Sciences (GESIS),http://lod.gesis.org/thesoz/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
periodo,PeriodO Period Gazetteer,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
shoah-victims-names,Shoah victims? names,absent,1,0.9724,1,0.78,1,1,0.96,1,1,1,1,1,1,0,0,1,0.5,0,1,0,1,0.5,2.96
reload,Repository for Linked Open Archival Data,absent,1,0.9828,1,0.89,1,1,0.98,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.23
amsterdam-museum-as-edm-lod,Amsterdam Museum as Linked Open Data in the Europeana Data Model,http://semanticweb.cs.vu.nl/lod/am/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
rkb-explorer-deploy,DEPLOY (RKBExplorer),http://deploy.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-jisc,UK JISC (RKBExplorer),http://jisc.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
ub-mannheim-linked-data,Linked Data Service der Universitätsbibliothek Mannheim,http://data.bib.uni-mannheim.de/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
rdf-book-mashup,RDF Book Mashup,http://www4.wiwiss.fu-berlin.de/bizer/bookmashup/,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
hungarian-national-library-catalog,Hungarian National Library (NSZL) catalog,http://nektar.oszk.hu/wiki/Semantic_web,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
hedatuz,Hedatuz,http://helheim.deusto.es/hedatuz/resource/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
ecs,"School of Electronics and Computer Science, University of Southampton",http://id.ecs.soton.ac.uk/docs/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
planetdata-project-wiki,PlanetData Project Wiki,http://planet-data.eu,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
oclc-fast,Faceted Application of Subject Terminology,http://id.worldcat.org/fast/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
rkb-explorer-webconf,webconf,http://webconf.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
linkedlccn,LinkedLCCN,http://purl.org/NET/lccn/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
marc-codes,MARC Codes List,http://purl.org/NET/marccodes/,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
isil-dbpedia,ISIL->DBpedia,http://lobid.org/organisation,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
aliada-scanbit-net,aliada-scanbit-net,http://biblioteca.artium.org,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
