id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
bll-thesaurus,https://lod-cloud.net/dataset/bll-thesaurus,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
omwn-heb,https://lod-cloud.net/dataset/omwn-heb,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
premon,https://lod-cloud.net/dataset/premon,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lime,https://lod-cloud.net/dataset/lime,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
isocat,https://lod-cloud.net/dataset/isocat,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
vu-wordnet,https://lod-cloud.net/dataset/vu-wordnet,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-cwn,https://lod-cloud.net/dataset/omwn-cwn,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
ssf,https://lod-cloud.net/dataset/ssf,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
stw-thesaurus-for-economics,https://lod-cloud.net/dataset/stw-thesaurus-for-economics,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
gesis-thesoz,https://lod-cloud.net/dataset/gesis-thesoz,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
fu-berlin-euraxess,https://lod-cloud.net/dataset/fu-berlin-euraxess,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
swefn-rdf,https://lod-cloud.net/dataset/swefn-rdf,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
open-data-thesaurus,https://lod-cloud.net/dataset/open-data-thesaurus,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
masc,https://lod-cloud.net/dataset/masc,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-als,https://lod-cloud.net/dataset/omwn-als,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-en-ca,https://lod-cloud.net/dataset/apertium-rdf-en-ca,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
panlex,https://lod-cloud.net/dataset/panlex,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
UDante,https://lod-cloud.net/dataset/UDante,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-swedish-lines,https://lod-cloud.net/dataset/universal-dependencies-treebank-swedish-lines,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-eu-en,https://lod-cloud.net/dataset/apertium-rdf-eu-en,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
