id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
bioportal-bt,https://lod-cloud.net/dataset/bioportal-bt,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-chebi,https://lod-cloud.net/dataset/bioportal-chebi,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-gfo-bio,https://lod-cloud.net/dataset/bioportal-gfo-bio,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-gro_x2,https://lod-cloud.net/dataset/bioportal-gro_x2,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-neomark,https://lod-cloud.net/dataset/bioportal-neomark,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-pedterm,https://lod-cloud.net/dataset/bioportal-pedterm,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-sep,https://lod-cloud.net/dataset/bioportal-sep,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-snpo,https://lod-cloud.net/dataset/bioportal-snpo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-vt,https://lod-cloud.net/dataset/bioportal-vt,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-cmo,https://lod-cloud.net/dataset/bioportal-cmo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-go_x1,https://lod-cloud.net/dataset/bioportal-go_x1,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-mdr,https://lod-cloud.net/dataset/bioportal-mdr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-mp,https://lod-cloud.net/dataset/bioportal-mp,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-nigo,https://lod-cloud.net/dataset/bioportal-nigo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-basic-vertebrate-gross-anatomy,https://lod-cloud.net/dataset/bioportal-basic-vertebrate-gross-anatomy,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-bcgo,https://lod-cloud.net/dataset/bioportal-bcgo,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-ndfrt,https://lod-cloud.net/dataset/bioportal-ndfrt,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-phare,https://lod-cloud.net/dataset/bioportal-phare,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-rs,https://lod-cloud.net/dataset/bioportal-rs,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-sitbac,https://lod-cloud.net/dataset/bioportal-sitbac,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
