id,title,url
infectious-diseases-ontology,Infectious Diseases Ontology,https://github.com/Shabnam-Maraghechi/Infectious-Diseases-Ontology
ocular-disease-ontology,Ocular Disease Ontology,https://github.com/Buffalo-Ontology-Group/Ocular-Disease-Ontology
cardiovasculardiseasesontology,Cardiovascular Diseases Ontology,https://github.com/abid-fareedi/CardiovascularDiseasesOntology
huma_disease_ontology,Huma Disease Ontology,https://github.com/sarashahin/Huma_Disease_Ontology
ovd,OVD,https://github.com/veterinaryontologyresource/OVD
animal-disease-symptom-ontology,Animal Disease Symptom Ontology,https://github.com/viraj-lakshitha/animal-disease-symptom-ontology
bacteria-infectious-disease-ontology,Bacteria Infectious Disease Ontology,https://github.com/PhiBabs935/Bacteria-Infectious-Disease-Ontology
adni_ontology,ADNI Ontology,https://github.com/Buffalo-Ontology-Group/ADNI_Ontology
ordi,ORDI,https://github.com/OPMI/ordi
hcdo,HCDO,https://github.com/ffracas/hcdo
ntdo,NTDO,https://github.com/FilipeSantana/NTDO
bcontology,BContology,https://github.com/adrian-str/bcontology
covid-19-ontology,COVID-19 Ontology,https://github.com/akodamullil/COVID-19-Ontology
odao,ODAO,https://github.com/hu7han73/ODAO
uc_fooddruginteractionontology,Food-Drug Interaction Ontology,https://github.com/IC-FOODS/uc_FoodDrugInteractionOntology
dibo-ontology,DIBO Ontology,https://github.com/OnToologyUser/DIBO-ontology
dibo,DIBO,https://github.com/jmgs7/DIBO
breast_cancer_ontology,Breast Cancer Ontology,https://github.com/ntfs62alikhaleghi/Breast_Cancer_ontology
covid19-epidemiology-ontology,COVID-19 Epidemiology Ontology,https://github.com/NuriaQueralt/covid19-epidemiology-ontology
vfb-scrnaseq-ontology,VFB scRNAseq Ontology,https://github.com/VirtualFlyBrain/vfb-scRNAseq-ontology
orsa,ORSA,https://github.com/LucasSerra1/ORSA
mirapie,MInimal Requirements for Automated Provece Information Enrichment in biomedical research,https://codeberg.org/MIRAPIE/MIRAPIE
pghdprov,Context and Provece Based Standardized Patient Generated Health Data Shared with an Electronic Health Record,absent
covidcrfrapid,WHO COVID-19 Rapid Version CRF semantic data model,https://bioportal.bioontology.org/ontologies/COVIDCRFRAPID
vodaigeria,VODAIGERIA,absent
cmr-qa,Cardiovascular Magnetic Resoce Quality Assessment Ontology,https://github.com/ernestojimenezruiz/CMR-QA-Semantic-Layer
osci,,absent
cto,Clinical Trials Ontology,https://github.com/ClinicalTrialOntology/CTO/
