id,title,original_url,score_F1A,score_F1B,score_F2,score_F3,score_F4,score_A1.1,score_A1.2,score_A2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,avg_F,total_A,avg_A,total_I,avg_I,total_R,avg_R,score_total,score_avg
bio2rdf-clinicaltrials,ClinicalTrials.gov,http://clinicaltrials.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-ctd,Comparative ToxicogenomicsÂ ,http://ctd.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-dbsnp,Database of single nucleotide polymorphism,http://dbsnp.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-genage,GenAge: The Ageing Gene Database,http://genage.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-gendr,GenDR: The Dietary Restriction Gene Database,http://gendr.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-hgnc,HUGO Gene Nomenclature CommitteeÂ ,http://hgnc.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-interpro,"Integrated resource of protein families, domains and functional sites",http://interpro.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-iproclass,Integrated Protein Knowledgebase,http://iproclass.bio2rdf.org/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bio2rdf-kegg,Kyoto Encyclopedia of Genes and Genomes,https://www.genome.jp/kegg,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-linkedspl,Linked Structured Product Label,https://www.nlm.nih.gov,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-lsr,The Life Science Resource Registry,http://lsr.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-ncbigene,NCBI Gene,http://ncbigene.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-omim,Online Mendelian Inheritance in Man,http://omim.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-pathwaycommons,Pathway Commons,https://www.pathwaycommons.org,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-reactome,Reactome - a curated knowledgebase of biological pathways,https://reactome.org,2,0,,,,2,0,,1,1,0,0,0,1,4,1,2,1,2,0.667,1,0.333,9,0.75
bio2rdf-sgd,Saccharomyces Genome Database,http://sgd.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bio2rdf-bioportal,BioPortal,http://bioportal.bio2rdf.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
lincs-cloview,LINCS Cell Line Ontology View,https://lincsproject.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
lthido,Linked Terminologies for Human Infectious Diseases,https://bioportal.bioontology.org/ontologies/LTHIDO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ndf-rt,National Drug File - Reference Terminology,https://www.nlm.nih.gov/research/umls/sourcereleasedocs/current/NDFRT/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ogg-at,Ontology of Genes and Genomes - Arabidopsis,http://purl.obolibrary.org/obo/ogg,0,2,,,,0,0,,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,2,0.167
ogg-bru,Ontology of Genes and Genomes - Brucella,http://purl.obolibrary.org/obo/ogg,,,,,,,,,,,,,,,,,,,,,,,2,0.167
ogg-dm,Ontology of Genes and Genomes - Drosophila,http://purl.obolibrary.org/obo/ogg,,,,,,,,,,,,,,,,,,,,,,,2,0.167
ogg-sc,Ontology of Genes and Genomes - Yeast,http://purl.obolibrary.org/obo/ogg,0,2,,,,0,0,,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,2,0.167
