id,title,url
xl,Xenopus Anatomy Ontology,https://bioportal.bioontology.org/ontologies/XL
evorao,European Viral Outbreak Response Alliance Ontology,http://www.evocontology.org/
ictv,ICTV Virus Taxonomy,https://talk.ictvonline.org/
uniprotrdfs,UniProt RDF Schema,https://www.uniprot.org/
addicto,Addiction Ontology,https://www.ebi.ac.uk/ols4/ontologies/addicto
dhba,Developing Human Brain Atlas Ontology,https://www.ebi.ac.uk/ols4/ontologies/dhba
hba,Human Brain Atlas Ontology,https://www.ebi.ac.uk/ols4/ontologies/hba
lipidmaps,LIPID MAPS,https://www.lipidmaps.org/
cao,Chemical Analysis Metadata Platform (ChAMP) Ontology version 0.2,https://www.ebi.ac.uk/ols4/ontologies/cao
phi,PHI-base Ontology,http://www.phi-base.org/
msio,Metabolomics Standards Initiative Ontology (MSIO),https://www.ebi.ac.uk/ols4/ontologies/msio
pride,Proteomics Identification Database Ontology,https://www.ebi.ac.uk/pride/
unimod,Unimod protein modification database for mass spectrometry,http://www.unimod.org/
hcao,Human Cell Atlas Ontology,https://www.ebi.ac.uk/ols4/ontologies/hcao
bcio,The Behaviour Change Intervention Ontology,https://www.ebi.ac.uk/ols4/ontologies/bcio
covoc,CoVoc Coronavirus Vocabulary,https://www.ebi.ac.uk/ols4/ontologies/covoc
snomed,SNOMED CT (International Edition),https://www.snomed.org/
ehda,"Human developmental anatomy, timed version",https://bioportal.bioontology.org/ontologies/EHDA
flu,Influenza Ontology,https://bioportal.bioontology.org/ontologies/FLU
loggerhead,Loggerhead nesting,https://bioportal.bioontology.org/ontologies/LHN
pd_st,Platynereis stage ontology,http://4dx.embl.de/platy
propreo,Proteomics data and process provece,http://lsdis.cs.uga.edu/projects/glycomics/propreo/
resid,Protein covalent bond,http://www.ebi.ac.uk/RESID/
sopharm,Suggested Ontology for Pharmacogenomics,https://bioportal.bioontology.org/ontologies/SOPHARM
tahe,Terminology of Anatomy of Human Embryology,https://www.ucl.ac.uk/anatomy
tahh,Terminology of Anatomy of Human Histology,https://www.ucl.ac.uk/anatomy
bci,Brain-Computer Interface Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/bci
biol,Biological Taxonomy Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/biol
biopax,BioPAX Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/biopax
biotop,Biology Upper-Level Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/biotop
cochrane,Cochrane Core Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/cochrane
cocoon,Cocoon Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/cocoon
dataid,DataID Core Vocabulary,https://lov.linkeddata.es/dataset/lov/vocabs/dataid
dbm,DBM Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/dbm
dbpedia-owl,DBpedia Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/dbpedia-owl
hifm,HIFM Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/hifm
hosp,Healthcare Provider Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/hosp
incident,RESC Incident Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/incident
lsc,Linked Science Core Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/lsc
ofo,OFO (Open Food Ontology),https://lov.linkeddata.es/dataset/lov/vocabs/ofo
omnlc,OMN Lifecycle Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/omnlc
person,Person Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/person
pext,PROTONext Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pext
phdd,PHDD Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/phdd
pimsii,PIMS-II Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pimsii
plink,PersonLink Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/plink
pmofn,PREMON Functional Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pmofn
pmonb,PREMON Neural Behavior Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pmonb
pmopb,PREMON Physical Behavior Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pmopb
pmovn,PREMON Visual Neuroscience Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pmovn
s4ehaw,SAREF4EHAW (eHealth and Ageing Well) Extension,https://lov.linkeddata.es/dataset/lov/vocabs/s4ehaw
sbeo,SBEO (Systems Biology Evidence Ontology),https://lov.linkeddata.es/dataset/lov/vocabs/sbeo
scip,Scientific People Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/scip
scoro,SCORO (Scientific Communication Roles) Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/scoro
tax,EU Taxonomy Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/tax
taxon,Biodiversity Taxon Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/taxon
wikibase,Wikidata Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/wikibase
mammalian-phenotype-ontology,Mammalian Phenotype Ontology,http://obofoundry.org/ontology/mp.html
drosophila-anatomy-developmental-ontology,Drosophila Anatomy & Developmental Ontology,http://obofoundry.org/ontology/fbbt.html
geno-ontology,GENO Ontology,http://obofoundry.org/ontology/geno.html
sem-prov-ontologies,Semi‑PROV Ontologies,https://dataoneorg.github.io/sem-prov-ontologies
microbe_masst,microbe_masst,https://github.com/robinschmid/microbe_masst
semanticchemistry,semanticchemistry,http://semanticchemistry.github.io/semanticchemistry
monarch-disease-ontology-retired,Monarch Disease Ontology (retired),https://github.com/monarch-initiative/monarch-disease-ontology-RETIRED
hspo-ontology,HSO‑Ontology,https://github.com/IBM/hspo-ontology
environmental-exposure-ontology,Environmental Exposure Ontology,http://obofoundry.org/ontology/exo.html
mental-functioning-ontology,Mental Functioning Ontology,https://bioportal.bioontology.org/ontologies/MF
diamond,DIAMOND,https://github.com/idaholab/DIAMOND
genealogical-trees,Genealogical Trees,https://github.com/blokhin/genealogical-trees
bio-attribute-ontology,Bio‑Attribute Ontology,http://obofoundry.org/ontology/oba.html
behavior-ontology,Behavior Ontology,http://obofoundry.org/ontology/nbo.html
joint-food-ontology-wg,Joint Food Ontology WG,https://github.com/FoodOntology/joint-food-ontology-wg
disease-ontology,Disease Ontology,https://github.com/20KD1A05C1/Disease-ontology
osdu-ontology,OSDU Ontology,https://github.com/Accenture/OSDU-Ontology
crop-ontology,Crop Ontology,http://www.cropontology.org/
humandiseaseontology,Human Disease Ontology,https://bioportal.bioontology.org/ontologies/DOID
human-phenotype-ontology,Human Phenotype Ontology,https://bioportal.bioontology.org/ontologies/HP
go-ontology,Gene Ontology,https://bioportal.bioontology.org/ontologies/GO
cell-ontology,Cell Ontology,http://obofoundry.org/ontology/cl.html
plant-ontology,Plant-ontology,https://github.com/Planteome/plant-ontology
ontie,ONTIE,https://github.com/IEDB/ONTIE
auto,Auto,https://github.com/lu-w/auto
plant-stress-ontology,Plant-stress-ontology,https://github.com/Planteome/plant-stress-ontology
foodbiomarkerontology,FoodBiomarkerOntology,https://github.com/pcastellanoescuder/FoodBiomarkerOntology
obsolete-hdo,Obsolete-hdo,https://github.com/obophenotype/obsolete-hdo
rsc-cmo,Rsc-cmo,https://github.com/rsc-ontologies/rsc-cmo
bbc-wildlife,Bbc-wildlife,http://www.bbc.co.uk/nature/
mcog-core,Mcog-core,https://github.com/galaxy-brain-ai/mcog-core
flybase-controlled-vocabulary,Flybase-controlled-vocabulary,https://github.com/FlyBase/flybase-controlled-vocabulary
plant-experimental-conditions-ontology,Plant-experimental-conditions-ontology,https://github.com/Planteome/plant-experimental-conditions-ontology
developmental-stage-ontologies,Developmental-stage-ontologies,https://github.com/obophenotype/developmental-stage-ontologies
zebrafish-phenotype-ontology,Zebrafish-phenotype-ontology,https://github.com/obophenotype/zebrafish-phenotype-ontology
fungal-anatomy-ontology,Fungal-anatomy-ontology,https://github.com/obophenotype/fungal-anatomy-ontology
hetontology,Hetontology,https://github.com/greenelab/hetontology
mobio,Mobio,https://github.com/arpcard/mobio
sfwo,Sfwo,https://github.com/soilfoodwebontology/sfwo
nfdi4plants_ontology,Nfdi4plants_ontology,https://github.com/nfdi4plants/nfdi4plants_ontology
gene-ontology,Gene-Ontology,https://github.com/nvenetsianou/Gene-Ontology
conso,Conso,https://github.com/pharmacome/conso
human_phenotype_ontology,Human Phenotype Ontology,https://bioportal.bioontology.org/ontologies/HP
healthont,HealthOnt,https://github.com/mubashar-iqbal/HealthOnt
heron-ontology,HERON-Ontology,https://github.com/ioannidou135/HERON-Ontology
ontologyandqahealth,OntologyAndQAHealth,https://github.com/shramanpadhalni-web/OntologyAndQAHealth
diagnosis_support,Diagnosis_support,https://github.com/RonaldoDev/diagnosis_support
codmo,CoDMO,https://github.com/mhxu1998/CoDMO
miaf-ontology,MIAF-Ontology,https://github.com/SICASFoundation/miaf-ontology
ontology_deb,DEB Ontology,https://projectdebbie.org/
ontology-covid-patients,Ontology for COVID-19 Patients,https://github.com/RacimRgh/Ontology-Covid-Patients
tibb-nabawi,Tibb Nabawi Ontology,https://github.com/mimi02/Tibb-Nabawi
toxicology-ontology,Toxicology Ontology,https://github.com/mac389/toxicology-ontology
gliomarker,Gliomarker,https://github.com/yjcyxky/gliomarker
clinical_trial_ontology,Clinical Trial Ontology,https://github.com/leonqli/clinical_trial_ontology
clinreason,ClinReason,https://github.com/ozborn/clinreason
cdt-ontology,CDT Ontology,https://github.com/SNUBiKE/CDT-Ontology
autocoo,AutoCOO,https://github.com/dfdazac/autocoo
ecmo,ECMO Ontology,https://github.com/reality/ECMO
